,0,1,2,3,4,5,6,7,8,9,,mean,std
0,2.052902564,2.242789744,2.281845361,1.873206186,2.255051546,2.159783505,2.100670103,2.067020619,2.304371134,1.956938144,,2.129457891,0.137611761
1,2.042194872,2.227969231,2.243845361,1.811814433,2.213391753,2.11328866,2.074742268,1.967958763,2.250804124,1.874845361,,2.082085482,0.149931411
2,2.036758974,2.2088,2.187494845,1.775505155,2.222350515,2.055453608,2.026268041,1.95542268,2.221917526,1.855525773,,2.054549712,0.15035172
3,2.025507692,2.24014359,2.172329897,1.723835052,2.208670103,1.99557732,1.965721649,1.933371134,2.190835052,1.815391753,,2.027138324,0.166311388
4,2.008215385,2.261979487,2.162721649,1.69485567,2.22114433,1.999783505,1.915391753,1.929092784,2.175505155,1.792103093,,2.016079281,0.179114807
5,2.170071795,2.484369231,2.233247423,1.790824742,2.164123711,2.140329897,2.070505155,2.101628866,2.327113402,1.787546392,,2.126976061,0.203601474
6,2.582410256,2.991035897,3.270680412,2.487175258,2.60656701,2.770649485,2.722474227,2.904783505,2.990721649,2.525525773,,2.785202347,0.238333407
7,2.43,2.774758974,3.206402062,2.400082474,2.443113402,2.628453608,2.60514433,2.78856701,2.852113402,2.441546392,,2.657018165,0.24172219
8,2.71425641,2.777323077,3.398206186,2.173525773,2.445618557,2.503216495,2.817237113,2.770793814,2.809247423,2.455257732,,2.686468258,0.310329142
9,7.586624936,7.134749984,7.784380655,7.109885901,8.146840537,7.084748899,7.250313453,7.749178666,8.008893975,6.849596297,,7.47052133,0.419827404
