,0,1,2,3,4,5,6,7,8,9,,mean,std
0,3.652322093,3.925969231,4.815836121,3.218298903,4.098817593,3.996428891,3.784273261,3.951048903,5.135521453,4.406525629,,4.098504208,0.53097635
1,3.649716685,3.881176748,4.758371502,3.128879621,4.096393335,3.946267337,3.806555032,3.962931722,5.06597408,4.452261548,,4.074852761,0.529771762
2,3.707827695,3.892643703,4.741018953,3.132158074,4.126115582,3.999481212,3.716499621,3.92875004,5.09226488,4.469104223,,4.080586398,0.53372866
3,3.679753045,3.851357646,4.774514488,3.085406398,4.111494968,3.977165503,3.69029254,3.980636658,5.028344108,4.422619787,,4.060158514,0.535738894
4,3.625521697,3.838503196,4.817364917,3.06652076,4.166699953,3.970871031,3.718805007,3.898409325,5.084569743,4.348005319,,4.053527095,0.556107949
5,3.963431543,4.035352918,4.976405321,3.341263655,4.186246501,3.964269368,3.771683035,4.286610881,5.341194615,4.220538868,,4.208699671,0.545161604
6,5.224437004,4.797637434,5.678261113,4.550469413,4.808388038,5.277436901,5.181760355,5.582680981,6.371477756,5.577346971,,5.304989596,0.502371676
7,5.145735058,4.845980158,5.538625628,4.838951607,4.754696834,5.175574423,5.237060282,5.866810764,6.064798387,5.596342381,,5.306457552,0.425421085
8,5.218638737,4.479032275,6.550036667,4.52716766,4.11502898,5.431364772,6.182254182,5.059153834,5.75474168,5.98211637,,5.329953516,0.759036369
9,12.81207947,10.88051523,12.54395902,12.48966677,12.20182586,12.29912128,11.77893202,12.28903308,12.29026968,12.48267872,,12.20680811,0.509955079
