,0,1,2,3,4,5,6,7,8,9,,mean,std
0,3.50875905,3.490300872,3.471091021,2.790296292,3.720916332,3.298688709,3.200554557,3.166015716,3.929577511,3.025062912,,3.360126297,0.317755371
1,3.512343461,3.522379774,3.442820627,2.720904122,3.688992969,3.248200302,3.183407977,3.021832292,3.865366194,2.927642879,,3.31338906,0.339375615
2,3.483675613,3.501276318,3.370021783,2.661368736,3.718754349,3.20531549,3.043689866,2.982679119,3.842841587,2.931635617,,3.274125848,0.355159711
3,3.444427621,3.562422169,3.380342617,2.583168748,3.75622839,3.15570137,2.86693306,3.012512455,3.767178701,2.925000732,,3.245391586,0.37924251
4,3.448015472,3.633587545,3.3787928,2.540837398,3.799810143,3.191756035,2.838871514,3.033123167,3.772607859,2.851487555,,3.248888949,0.407371238
5,3.688400073,3.977266286,3.559511945,2.863311718,3.431697944,3.412921194,3.094675431,3.35995443,3.94824226,2.828283468,,3.416426475,0.380869909
6,4.018019821,4.353533113,4.77975653,3.809438712,4.05028828,3.903666269,3.819587599,4.084444123,4.447050219,3.600598948,,4.086638361,0.332482452
7,3.829396674,4.202629708,4.816940091,3.818428707,3.87003636,3.942489033,3.778550091,3.924224967,4.290435364,3.663291376,,4.013642237,0.32270231
8,4.117439907,4.188619196,5.506171094,3.60857296,3.851159193,4.005401865,4.396669266,4.100022747,4.640992805,3.663677342,,4.207872637,0.524646931
9,9.446754825,8.686148437,9.505551997,8.929122108,9.939861265,8.966199877,9.159533031,9.53937671,9.831907346,8.551639432,,9.255609503,0.447134621
