,0,1,2,3,4,5,6,7,8,9,,mean,std
0,2.387405128,2.468738462,2.749,2.190958763,2.440546392,2.427597938,2.375979381,2.575329897,2.936175258,2.34442268,,2.48961539,0.203560711
1,2.375476923,2.456082051,2.693278351,2.106,2.426092784,2.408938144,2.353082474,2.549371134,2.902721649,2.33214433,,2.460318784,0.205528191
2,2.390502564,2.439292308,2.690505155,2.094814433,2.416690722,2.417742268,2.296628866,2.527092784,2.888865979,2.316360825,,2.44784959,0.207288862
3,2.356266667,2.395723077,2.683474227,2.052484536,2.410989691,2.382742268,2.258597938,2.529804124,2.841515464,2.271175258,,2.418277325,0.211780287
4,2.324974359,2.396738462,2.706391753,2.07471134,2.413484536,2.399103093,2.270536082,2.495257732,2.849041237,2.252649485,,2.418288808,0.212450249
5,2.5068,2.490441026,2.816072165,2.217494845,2.40957732,2.485319588,2.319463918,2.666020619,3.063257732,2.328195876,,2.530264309,0.24207704
6,3.218471795,3.26414359,3.719010309,3.092,3.078927835,3.419030928,3.379195876,3.793752577,4.125,3.386154639,,3.447568755,0.317829085
7,3.098676923,3.178112821,3.558350515,3.092237113,3.070195876,3.28185567,3.426154639,3.829773196,3.940402062,3.320556701,,3.379631552,0.293621728
8,3.033774359,2.858953846,3.737773196,2.796237113,2.496587629,3.165515464,3.560463918,3.389340206,3.513123711,3.359608247,,3.191137769,0.371573126
9,10.29762612,8.754873105,10.08913165,9.940565461,9.404310514,9.996026677,9.127145374,9.861833832,9.739895552,9.745042512,,9.69564508,0.44638151
