,0,1,,,,,原始R,R绝对值,随机森林,,原始R,,R绝对值,排名,,随机森林,排名,,,,R绝对值,排名,,,随机森林,排名,,,,,R绝对值,排名,随机森林,排名,综合排名,,,,原始R,,R绝对值,排名,,随机森林,排名,Avg排名,,随机森林归一化重要性
15,-0.463034348,8.42E-69,,,,Width_total_25,-0.463034348,0.463034348,0.009858477,,-0.463034348,Width_total_25,0.463034348,4,Width_total_25,0.009858477,21,,,Width_left_50,0.37489298,16,,PWRd,0.014452761,16,,,6,Width_right_50,0.420452584,7,0.002223222,36,21.5,,,0.006692717,-0.420452584,Width_right_50,0.420452584,7,Width_right_50,0.002223222,36,21.5,,0.006692717
16,-0.425433673,3.04E-57,,,,Width_total_50,-0.425433673,0.425433673,0.002530191,,-0.425433673,Width_total_50,0.425433673,6,Width_total_50,0.002530191,35,,,Width_left_90,0.374322714,17,,PIR_d_max,0.013545058,17,,,25,PI_d_max,0.150075076,30,0.017328245,13,21.5,,,0.052164397,0.150075076,PI_d_max,0.150075076,30,PI_d_max,0.017328245,13,21.5,,0.052164397
17,-0.38807316,4.01E-47,,,,Width_total_75,-0.38807316,0.38807316,0.001436254,,-0.38807316,Width_total_75,0.38807316,12,Width_total_75,0.001436254,38,,,Width_left_25,0.371554767,18,,AS,0.013428242,18,,,1,PTT_min,0.0466387,38,0.032204927,7,22.5,,,0.096948688,-0.0466387,PTT_min,0.0466387,38,PTT_min,0.032204927,7,22.5,,0.096948688
18,-0.386381102,1.07E-46,,,,Width_total_90,-0.386381102,0.386381102,0.001336755,,-0.386381102,Width_total_90,0.386381102,13,Width_total_90,0.001336755,40,,,En_Ap,0.367145977,19,,DSd,0.012994228,19,,,28,PIR_d_max,0.197211788,28,0.013545058,17,22.5,,,0.040775612,-0.197211788,PIR_d_max,0.197211788,28,PIR_d_max,0.013545058,17,22.5,,0.040775612
19,-0.003080862,0.91245353,,,,Width_ratio_25,-0.003080862,0.003080862,0.006765765,,-0.003080862,Width_ratio_25,0.003080862,43,Width_ratio_25,0.006765765,23,,,Width_left_0,0.363528855,20,,PI_min,0.012439271,20,,,23,PI_max,0.051291149,36,0.023378567,10,23,,,0.070378094,-0.051291149,PI_max,0.051291149,36,PI_max,0.023378567,10,23,,0.070378094
20,0.109240465,9.23E-05,,,,Width_ratio_50,0.109240465,0.109240465,0.004504014,,0.109240465,Width_ratio_50,0.109240465,31,Width_ratio_50,0.004504014,32,,,PTT_max,0.361124671,21,,Width_total_25,0.009858477,21,,,35,ASd,0.042528105,40,0.035214283,6,23,,,0.106007957,0.042528105,ASd,0.042528105,40,ASd,0.035214283,6,23,,0.106007957
21,0.211732262,2.13E-14,,,,Width_ratio_75,0.211732262,0.211732262,0.004568962,,0.211732262,Width_ratio_75,0.211732262,27,Width_ratio_75,0.004568962,31,,,En_Sp,0.309019529,22,,PWd_50,0.007703207,22,,,30,DS,0.044752046,39,0.027413489,8,23.5,,,0.082524695,-0.044752046,DS,0.044752046,39,DS,0.027413489,8,23.5,,0.082524695
22,0.237582435,7.84E-18,,,,Width_ratio_90,0.237582435,0.237582435,0.004641726,,0.237582435,Width_ratio_90,0.237582435,25,Width_ratio_90,0.004641726,30,,,PWRd,0.280240304,23,,Width_ratio_25,0.006765765,23,,,9,Width_left_0,0.363528855,20,0.005355245,28,24,,,0.016121259,-0.363528855,Width_left_0,0.363528855,20,Width_left_0,0.005355245,28,24,,0.016121259
23,-0.051291149,0.067012764,,,,PI_max,-0.051291149,0.051291149,0.023378567,,-0.051291149,PI_max,0.051291149,36,PI_max,0.023378567,10,,,PAT_max,0.249878519,24,,PWd,0.00666445,24,,,26,PP_value,0.07615545,33,0.017008248,15,24,,,0.051201089,-0.07615545,PP_value,0.07615545,33,PP_value,0.017008248,15,24,,0.051201089
24,0.101932509,0.000265237,,,,PI_min,0.101932509,0.101932509,0.012439271,,0.101932509,PI_min,0.101932509,32,PI_min,0.012439271,20,,,Width_ratio_90,0.237582435,25,,CT,0.006444465,25,,,37,sd,0.066268397,34,0.017192214,14,24,,,0.051754894,-0.066268397,sd,0.066268397,34,sd,0.017192214,14,24,,0.051754894
25,0.150075076,7.20E-08,,,,PI_d_max,0.150075076,0.150075076,0.017328245,,0.150075076,PI_d_max,0.150075076,30,PI_d_max,0.017328245,13,,,PIR_max,0.23039125,26,,kurt,0.006396774,26,,,40,En_Ap,0.367145977,19,0.005331518,29,24,,,0.016049832,0.367145977,En_Ap,0.367145977,19,En_Ap,0.005331518,29,24,,0.016049832
26,-0.07615545,0.006495756,,,,PP_value,-0.07615545,0.07615545,0.017008248,,-0.07615545,PP_value,0.07615545,33,PP_value,0.017008248,15,,,Width_ratio_75,0.211732262,27,,Width_right_0,0.006318628,27,,,17,Width_total_75,0.38807316,12,0.001436254,38,25,,,0.004323653,-0.38807316,Width_total_75,0.38807316,12,Width_total_75,0.001436254,38,25,,0.004323653
27,-0.23039125,7.81E-17,,,,PIR_max,-0.23039125,0.23039125,0.018019601,,-0.23039125,PIR_max,0.23039125,26,PIR_max,0.018019601,12,,,PIR_d_max,0.197211788,28,,Width_left_0,0.005355245,28,,,31,Apdd_max,0.011539667,41,0.026048299,9,25,,,0.07841497,-0.011539667,Apdd_max,0.011539667,41,Apdd_max,0.026048299,9,25,,0.07841497
28,-0.197211788,1.18E-12,,,,PIR_d_max,-0.197211788,0.197211788,0.013545058,,-0.197211788,PIR_d_max,0.197211788,28,PIR_d_max,0.013545058,17,,,skew,0.18983752,29,,En_Ap,0.005331518,29,,,7,Width_right_75,0.39258504,11,0.0012482,41,26,,,0.003757542,-0.39258504,Width_right_75,0.39258504,11,Width_right_75,0.0012482,41,26,,0.003757542
29,-0.003205023,0.908940383,,,,AS,-0.003205023,0.003205023,0.013428242,,-0.003205023,AS,0.003205023,42,AS,0.013428242,18,,,PI_d_max,0.150075076,30,,Width_ratio_90,0.004641726,30,,,10,Width_left_25,0.371554767,18,0.003237809,34,26,,,0.009746997,-0.371554767,Width_left_25,0.371554767,18,Width_left_25,0.003237809,34,26,,0.009746997
30,-0.044752046,0.110081261,,,,DS,-0.044752046,0.044752046,0.027413489,,-0.044752046,DS,0.044752046,39,DS,0.027413489,8,,,Width_ratio_50,0.109240465,31,,Width_ratio_75,0.004568962,31,,,24,PI_min,0.101932509,32,0.012439271,20,26,,,0.037446786,0.101932509,PI_min,0.101932509,32,PI_min,0.012439271,20,26,,0.037446786
31,-0.011539667,0.680471501,,,,Apdd_max,-0.011539667,0.011539667,0.026048299,,-0.011539667,Apdd_max,0.011539667,41,Apdd_max,0.026048299,9,,,PI_min,0.101932509,32,,Width_ratio_50,0.004504014,32,,,11,Width_left_50,0.37489298,16,0.001764353,37,26.5,,,0.005311352,-0.37489298,Width_left_50,0.37489298,16,Width_left_50,0.001764353,37,26.5,,0.005311352
32,-0.420051512,1.05E-55,,,,PWd,-0.420051512,0.420051512,0.00666445,,-0.420051512,PWd,0.420051512,8,PWd,0.00666445,24,,,PP_value,0.07615545,33,,Width_right_25,0.003822934,33,,,18,Width_total_90,0.386381102,13,0.001336755,40,26.5,,,0.004024125,-0.386381102,Width_total_90,0.386381102,13,Width_total_90,0.001336755,40,26.5,,0.004024125
33,-0.403792735,3.17E-51,,,,PWd_50,-0.403792735,0.403792735,0.007703207,,-0.403792735,PWd_50,0.403792735,10,PWd_50,0.007703207,22,,,sd,0.066268397,34,,Width_left_25,0.003237809,34,,,12,Width_left_75,0.374920764,15,0.001374993,39,27,,,0.004139235,-0.374920764,Width_left_75,0.374920764,15,Width_left_75,0.001374993,39,27,,0.004139235
34,0.280240304,1.87E-24,,,,PWRd,0.280240304,0.280240304,0.014452761,,0.280240304,PWRd,0.280240304,23,PWRd,0.014452761,16,,,kurt,0.065621635,35,,Width_total_50,0.002530191,35,,,22,Width_ratio_90,0.237582435,25,0.004641726,30,27.5,,,0.013973304,0.237582435,Width_ratio_90,0.237582435,25,Width_ratio_90,0.004641726,30,27.5,,0.013973304
35,0.042528105,0.128926048,,,,ASd,0.042528105,0.042528105,0.035214283,,0.042528105,ASd,0.042528105,40,ASd,0.035214283,6,,,PI_max,0.051291149,36,,Width_right_50,0.002223222,36,,,8,Width_right_90,0.384333187,14,0.001042588,42,28,,,0.003138574,-0.384333187,Width_right_90,0.384333187,14,Width_right_90,0.001042588,42,28,,0.003138574
36,-0.049694153,0.075982375,,,,DSd,-0.049694153,0.049694153,0.012994228,,-0.049694153,DSd,0.049694153,37,DSd,0.012994228,19,,,DSd,0.049694153,37,,Width_left_50,0.001764353,37,,,36,DSd,0.049694153,37,0.012994228,19,28,,,0.039117411,-0.049694153,DSd,0.049694153,37,DSd,0.012994228,19,28,,0.039117411
37,-0.066268397,0.017910389,,,,sd,-0.066268397,0.066268397,0.017192214,,-0.066268397,sd,0.066268397,34,sd,0.017192214,14,,,PTT_min,0.0466387,38,,Width_total_75,0.001436254,38,,,21,Width_ratio_75,0.211732262,27,0.004568962,31,29,,,0.013754258,0.211732262,Width_ratio_75,0.211732262,27,Width_ratio_75,0.004568962,31,29,,0.013754258
38,0.18983752,8.10E-12,,,,skew,0.18983752,0.18983752,0.076194464,,0.18983752,skew,0.18983752,29,skew,0.076194464,2,,,DS,0.044752046,39,,Width_left_75,0.001374993,39,,,13,Width_left_90,0.374322714,17,0.001028703,43,30,,,0.003096775,-0.374322714,Width_left_90,0.374322714,17,Width_left_90,0.001028703,43,30,,0.003096775
39,0.065621635,0.019062344,,,,kurt,0.065621635,0.065621635,0.006396774,,0.065621635,kurt,0.065621635,35,kurt,0.006396774,26,,,ASd,0.042528105,40,,Width_total_90,0.001336755,40,,,29,AS,0.003205023,42,0.013428242,18,30,,,0.040423952,-0.003205023,AS,0.003205023,42,AS,0.013428242,18,30,,0.040423952
40,0.367145977,5.33E-42,,,,En_Ap,0.367145977,0.367145977,0.005331518,,0.367145977,En_Ap,0.367145977,19,En_Ap,0.005331518,29,,,Apdd_max,0.011539667,41,,Width_right_75,0.0012482,41,,,39,kurt,0.065621635,35,0.006396774,26,30.5,,,0.019256645,0.065621635,kurt,0.065621635,35,kurt,0.006396774,26,30.5,,0.019256645
41,0.309019529,1.23E-29,,,,En_Sp,0.309019529,0.309019529,0.018160046,,0.309019529,En_Sp,0.309019529,22,En_Sp,0.018160046,11,,,AS,0.003205023,42,,Width_right_90,0.001042588,42,,,20,Width_ratio_50,0.109240465,31,0.004504014,32,31.5,,,0.01355874,0.109240465,Width_ratio_50,0.109240465,31,Width_ratio_50,0.004504014,32,31.5,,0.01355874
42,0.471225959,1.62E-71,,,,HR,0.471225959,0.471225959,0.332185281,,0.471225959,HR,0.471225959,3,HR,0.332185281,1,,,Width_ratio_25,0.003080862,43,,Width_left_90,0.001028703,43,,,19,Width_ratio_25,0.003080862,43,0.006765765,23,33,,,0.020367444,-0.003080862,Width_ratio_25,0.003080862,43,Width_ratio_25,0.006765765,23,33,,0.020367444
